study_hours,attendance,prev_sem_marks,internal_marks,assignment_pct,participation,sleep_hours,internet_hours,final_percentage,performance_category
5.68,99.81,89.56,13.89,58.84,1,8.79,7.05,42.36,1
5.92,70.13,86.92,11.15,90.94,0,6.01,4.2,52.19,1
2.66,75.72,82.52,16.85,74.2,1,8.39,4.33,46.27,1
9.73,44.02,42.17,15.4,67.28,1,6.52,3.7,42.89,1
7.98,85.0,58.19,29.33,38.08,1,7.47,7.77,54.63,1
9.46,52.59,55.79,21.15,72.39,1,9.0,5.88,66.32,1
9.05,93.88,61.61,16.95,38.2,0,8.82,1.58,56.89,1
6.38,52.31,45.26,21.61,53.6,1,9.2,7.04,47.55,1
9.3,51.44,96.22,12.78,40.0,0,4.36,4.36,53.21,1
1.8,42.19,73.23,18.88,78.45,1,8.15,1.48,29.18,0
2.76,68.32,58.33,22.52,44.44,0,4.84,4.85,39.44,0
1.41,73.89,63.82,19.78,57.43,0,6.49,3.92,37.2,0
3.93,43.94,66.83,18.04,92.7,1,7.29,7.14,40.05,1
4.5,86.53,76.04,29.88,44.3,1,6.42,2.43,54.18,1
3.44,67.2,70.94,27.61,65.55,1,7.12,6.79,48.67,1
8.46,71.46,95.16,22.47,59.35,0,9.98,4.9,61.57,1
4.21,66.45,69.82,21.39,31.27,1,4.81,1.38,40.11,1
3.53,64.05,99.53,22.41,85.49,1,8.05,7.8,52.98,1
5.88,73.58,91.09,14.03,34.83,0,6.38,4.59,42.34,1
2.27,49.31,52.51,17.9,63.2,1,4.8,3.04,26.44,0
8.22,50.92,95.84,10.79,69.25,0,4.95,4.29,56.79,1
1.67,91.71,46.98,19.51,73.99,1,9.7,7.01,41.77,1
9.88,96.77,89.05,20.86,78.2,0,9.28,3.13,69.15,1
7.95,62.4,62.84,14.55,47.73,0,9.44,2.35,44.34,1
2.79,56.24,92.68,29.28,30.7,1,9.95,1.9,44.59,1
1.05,78.64,92.08,28.19,80.64,0,5.25,3.09,47.33,1
8.34,64.52,88.36,24.44,67.5,1,6.13,6.46,54.83,1
7.36,41.52,87.4,20.67,88.53,1,8.02,4.3,51.85,1
7.56,49.37,58.28,27.4,87.5,0,6.9,2.59,56.8,1
7.94,82.96,44.86,12.61,89.03,1,6.51,2.16,57.88,1
1.67,79.54,64.18,25.81,63.96,0,6.15,3.33,41.4,1
4.23,41.63,50.41,12.5,53.35,0,7.56,7.58,36.76,0
2.04,53.32,81.7,25.88,85.41,0,7.45,3.4,36.54,0
8.77,53.86,60.77,15.52,61.59,0,4.97,7.92,53.3,1
6.61,80.31,98.54,27.54,42.84,0,6.83,4.4,57.71,1
3.98,41.18,78.46,28.88,89.85,0,7.32,2.25,49.54,1
1.57,46.25,89.35,12.98,91.78,0,7.42,7.24,36.23,0
3.8,87.99,47.95,19.25,62.64,0,5.26,4.22,49.04,1
3.93,50.71,91.72,29.62,35.3,1,8.45,5.97,45.54,1
7.57,79.16,95.37,19.67,57.15,1,4.15,7.89,62.38,1
6.74,54.29,69.22,27.27,86.25,0,6.13,1.35,53.77,1
8.98,45.97,76.38,21.77,93.12,1,8.68,1.68,58.18,1
5.25,54.59,85.89,17.51,44.24,1,7.38,6.04,46.28,1
2.08,83.34,50.49,15.72,34.69,1,5.57,2.97,33.19,0
7.42,91.34,70.15,14.06,91.41,1,8.17,2.29,57.35,1
7.85,89.81,63.92,25.24,57.26,1,7.4,1.28,60.02,1
6.05,63.83,48.78,17.73,67.92,1,8.78,1.15,47.22,1
7.94,80.09,62.05,20.23,97.76,0,8.41,6.42,57.86,1
5.44,52.3,44.09,19.85,34.66,1,7.66,1.94,44.11,1
5.7,57.59,41.55,21.55,75.38,1,6.93,4.27,48.52,1
4.85,93.78,48.11,27.31,35.19,1,4.8,5.24,45.46,1
1.23,40.78,97.79,29.61,56.28,1,5.57,4.0,46.79,1
1.97,45.13,72.97,18.15,86.27,0,6.51,1.19,33.34,0
1.28,52.47,97.95,26.55,60.34,0,7.6,6.48,45.69,1
6.73,41.59,65.95,25.29,99.8,0,7.08,1.07,54.7,1
3.83,50.89,58.71,21.47,69.13,0,5.73,6.33,33.2,0
5.58,74.98,70.37,29.12,52.48,1,4.04,7.25,54.29,1
9.17,65.29,66.37,14.01,45.41,0,6.98,4.03,51.53,1
3.24,93.56,46.34,12.19,54.54,0,5.71,4.75,36.2,0
4.69,89.05,78.45,27.08,56.08,0,8.41,4.34,60.01,1
7.8,60.51,52.96,18.78,34.81,0,4.14,3.72,45.82,1
3.06,55.57,77.18,26.94,55.87,1,7.51,7.21,41.71,1
1.69,62.78,79.01,27.86,62.5,0,9.65,7.26,43.61,1
3.61,75.42,49.12,11.25,80.59,1,5.05,3.35,42.32,1
2.45,56.08,43.68,27.67,75.97,0,6.83,5.31,38.39,0
9.37,77.45,86.85,18.97,79.61,1,4.55,7.49,68.36,1
8.27,64.56,67.59,20.21,30.59,1,7.75,7.73,55.23,1
6.7,73.12,43.49,22.53,45.24,0,7.3,4.56,39.52,0
8.84,66.17,99.69,28.53,76.32,0,6.44,4.17,64.81,1
8.23,57.67,43.47,10.38,63.88,0,7.13,2.95,43.23,1
2.68,96.91,81.7,19.54,30.37,0,9.38,7.71,47.88,1
9.03,85.82,99.02,23.75,86.31,1,5.18,2.0,59.21,1
5.85,48.41,54.35,24.45,84.1,1,4.14,5.06,57.88,1
8.27,92.11,48.53,23.85,68.39,0,9.17,2.98,60.41,1
9.06,69.25,47.28,12.69,34.65,0,7.46,2.95,49.96,1
3.86,93.67,58.2,15.99,83.66,1,9.34,3.83,51.69,1
1.99,87.99,46.06,17.17,70.86,0,7.58,7.99,47.27,1
3.05,65.51,81.53,26.09,84.74,1,8.86,1.38,52.98,1
4.84,41.35,43.74,15.58,82.62,0,6.58,5.05,41.38,1
8.36,56.12,70.57,14.21,86.21,1,8.5,1.58,54.59,1
8.75,72.5,99.8,29.15,66.26,1,9.48,2.08,67.65,1
1.06,78.01,88.84,10.18,39.82,1,7.43,4.08,35.64,0
5.6,55.47,76.91,29.96,76.98,1,5.08,4.57,50.94,1
4.76,48.36,58.38,23.54,73.43,1,5.61,2.81,42.17,1
3.0,90.1,77.43,26.57,81.96,0,5.19,3.22,46.45,1
2.08,99.06,71.62,15.89,41.89,1,5.48,1.61,43.2,1
4.04,71.54,65.57,10.29,43.65,0,5.84,3.12,33.06,0
9.49,50.3,47.84,24.76,92.33,1,7.33,7.77,56.92,1
3.91,56.34,93.2,26.68,82.5,1,7.53,7.61,51.27,1
5.67,41.1,66.99,24.81,93.58,0,6.56,3.34,49.34,1
7.33,94.86,51.68,12.86,83.11,0,7.69,5.0,50.47,1
4.27,47.07,62.07,25.07,71.8,0,4.49,7.37,55.86,1
9.75,74.59,64.85,25.38,75.79,0,4.53,1.04,68.9,1
9.66,56.44,89.65,23.17,92.24,1,5.03,6.67,59.36,1
3.27,73.25,84.02,25.32,70.52,0,7.11,7.64,50.0,1
5.48,79.09,86.16,26.92,74.27,1,5.28,1.64,55.81,1
3.71,89.78,40.66,22.27,40.95,0,5.7,2.13,38.85,0
3.56,52.39,64.97,11.77,63.17,0,6.4,7.73,31.23,0
1.33,40.66,68.88,19.75,80.15,1,8.87,4.76,37.1,0
6.49,48.21,41.15,11.55,48.97,1,4.08,1.1,36.88,0
5.52,94.0,55.59,18.15,44.16,0,7.9,2.8,52.85,1
1.46,92.43,85.62,18.14,51.97,1,8.01,4.15,48.57,1
3.51,75.84,48.23,11.32,46.91,1,8.79,5.85,42.37,1
9.17,76.03,72.12,16.98,45.04,1,9.6,6.13,54.23,1
3.16,79.9,52.91,12.22,59.74,1,4.12,7.97,40.22,1
2.3,50.52,40.73,26.16,93.55,1,4.92,3.01,40.94,1
5.41,94.86,54.47,28.95,65.49,1,9.32,4.77,53.07,1
9.87,65.13,98.55,11.45,43.15,1,6.75,4.73,56.79,1
3.18,62.99,88.09,29.1,35.39,1,7.39,3.84,55.02,1
7.05,71.14,97.57,20.45,78.73,0,7.98,2.18,60.59,1
7.85,42.82,69.27,15.99,56.8,1,8.07,7.84,51.08,1
3.14,49.98,46.58,11.54,87.53,0,9.59,6.97,30.1,0
7.55,84.28,72.88,20.01,76.17,1,9.98,4.49,53.65,1
4.31,44.97,67.26,25.89,85.74,1,8.32,5.22,43.97,1
6.69,76.19,90.66,24.14,49.04,1,5.72,2.59,58.2,1
6.7,54.72,45.88,11.0,78.47,1,9.28,4.81,38.72,0
5.82,63.36,69.29,11.46,48.48,0,4.3,5.86,43.96,1
1.81,57.32,49.0,18.06,95.73,0,5.39,4.61,28.7,0
8.52,61.34,59.48,15.91,74.55,1,9.38,7.93,47.98,1
3.89,83.14,84.24,14.65,52.72,0,5.54,5.28,49.41,1
2.68,57.83,68.56,15.62,48.87,1,5.32,3.6,40.28,1
1.37,73.98,62.55,26.07,43.36,1,4.83,6.41,38.51,0
6.32,68.56,63.67,28.58,78.62,0,9.15,2.19,51.09,1
7.1,79.82,67.57,18.1,45.31,0,7.0,3.69,48.54,1
1.15,96.21,87.1,28.12,71.67,1,8.05,3.43,48.96,1
5.61,83.95,93.53,16.43,48.52,1,5.43,4.02,56.6,1
3.04,52.9,97.32,19.53,76.34,0,8.55,6.47,49.2,1
6.81,41.87,87.21,14.52,87.05,1,8.56,4.39,48.59,1
2.57,55.74,58.92,22.81,84.46,0,5.88,6.56,35.39,0
7.22,75.7,81.29,29.58,83.26,1,6.46,5.04,63.51,1
4.48,43.09,66.26,22.07,43.14,1,5.26,3.39,38.91,0
9.43,69.78,55.28,17.16,36.19,0,9.86,6.67,51.23,1
2.24,75.81,90.45,22.96,78.93,0,7.87,2.67,53.52,1
4.07,60.05,42.31,12.46,55.78,0,9.61,2.57,39.06,0
2.02,86.25,94.11,27.77,60.26,1,5.82,4.53,51.89,1
9.32,46.4,67.69,20.06,32.18,1,8.69,2.83,48.52,1
8.9,44.51,78.23,18.99,48.17,1,8.6,1.06,55.67,1
3.32,83.69,79.56,21.72,32.36,1,8.15,5.54,51.25,1
6.94,69.73,93.71,22.5,91.54,0,9.79,4.58,58.33,1
8.35,81.3,78.2,11.44,47.04,1,6.36,4.12,60.84,1
6.0,66.09,76.84,23.65,69.01,1,4.78,7.77,58.3,1
5.77,54.78,44.0,14.84,32.73,1,8.03,5.0,45.93,1
3.18,89.15,71.1,24.28,76.68,0,8.38,7.04,50.34,1
1.84,87.96,49.01,26.45,52.61,1,7.45,1.98,44.86,1
9.07,81.68,84.25,26.08,92.85,1,5.24,4.98,73.22,1
9.1,56.33,70.73,21.05,92.17,0,7.03,7.08,59.88,1
6.7,75.41,80.81,20.4,52.77,1,5.87,5.08,53.03,1
4.05,61.66,42.5,12.86,93.07,1,6.56,6.03,36.6,0
4.14,45.49,45.09,25.51,99.73,0,7.87,3.6,43.4,1
7.53,95.04,82.98,15.43,87.78,1,8.47,1.65,55.86,1
9.07,48.21,44.33,19.93,89.14,1,5.39,4.21,51.77,1
8.98,97.01,44.28,15.69,47.43,1,6.43,3.76,59.96,1
8.02,66.76,40.73,12.68,70.37,0,5.61,7.07,37.96,0
6.78,51.11,97.39,22.59,34.71,1,5.19,2.71,60.65,1
1.76,72.51,84.25,11.09,36.64,1,8.7,7.77,41.75,1
2.45,92.38,61.2,24.97,99.92,0,9.46,7.71,45.86,1
9.09,83.93,57.79,16.35,52.86,0,6.22,2.73,58.55,1
6.46,88.39,60.98,10.0,82.37,1,8.51,3.44,50.4,1
1.08,79.53,86.48,20.22,86.47,1,9.38,7.27,49.18,1
1.91,81.54,79.68,10.94,90.06,1,9.08,7.77,45.36,1
6.97,90.95,51.11,15.52,99.83,1,5.1,4.1,48.19,1
1.05,54.98,50.45,24.14,46.9,0,9.74,3.25,35.78,0
2.45,69.37,45.9,11.25,32.82,1,6.26,4.68,31.26,0
5.94,53.27,79.62,26.79,58.78,0,6.04,5.81,52.34,1
7.23,99.26,85.86,10.08,39.11,0,4.37,2.91,52.51,1
6.87,96.64,55.9,14.94,31.57,1,6.92,6.16,57.6,1
3.02,42.37,41.26,24.82,55.23,1,4.65,1.36,40.48,1
7.41,82.33,44.93,16.33,84.86,0,5.49,1.35,48.84,1
3.14,95.51,98.07,12.04,69.63,0,5.9,3.7,43.98,1
3.93,50.83,57.73,17.2,51.89,1,8.85,3.47,37.35,0
7.72,74.08,86.15,15.41,75.8,0,9.25,3.21,58.96,1
6.85,94.93,77.48,26.85,46.24,1,5.81,4.44,61.52,1
8.64,42.04,62.92,16.27,31.01,1,9.15,3.25,53.55,1
6.92,81.85,52.34,25.78,83.5,0,9.14,2.35,58.97,1
6.11,57.84,47.28,27.84,73.66,0,8.59,3.17,53.17,1
1.84,95.46,76.9,18.68,83.36,1,4.88,7.82,47.38,1
4.31,98.26,86.48,28.2,32.73,0,8.14,3.88,50.14,1
3.39,96.66,78.63,17.55,88.6,1,9.67,4.11,50.01,1
3.2,68.45,71.82,29.28,73.37,1,8.1,5.04,53.07,1
9.76,91.72,42.52,11.79,69.44,1,5.99,7.88,55.09,1
4.54,90.67,98.11,23.74,73.72,0,7.0,2.69,59.74,1
9.03,59.15,87.92,19.88,90.51,1,7.87,5.77,60.16,1
6.68,89.73,57.57,17.75,71.09,1,7.06,6.01,48.87,1
8.15,42.22,98.8,22.65,70.67,1,4.72,5.25,58.08,1
5.52,75.78,76.11,24.08,99.35,1,5.87,1.62,57.54,1
6.19,53.8,74.95,10.09,82.97,1,8.81,5.74,43.74,1
5.43,47.23,84.88,13.34,60.96,1,9.17,1.45,44.99,1
2.76,44.62,88.71,24.26,79.52,1,4.82,5.17,41.21,1
7.5,81.78,79.39,23.33,57.25,1,9.71,6.18,63.72,1
3.53,60.39,47.69,29.32,46.02,1,5.97,2.48,41.73,1
1.22,83.49,60.3,25.22,71.78,1,7.97,6.89,47.89,1
6.81,43.92,95.69,29.02,94.97,1,8.51,1.21,65.98,1
2.59,58.92,53.48,24.05,95.04,0,8.87,6.91,40.44,1
9.46,72.37,62.33,15.96,53.93,1,9.67,4.22,52.4,1
9.59,87.44,65.92,12.11,66.94,1,5.88,2.52,50.73,1
9.23,59.13,66.36,25.64,44.81,1,9.15,1.94,52.7,1
4.33,77.55,76.78,22.88,99.69,0,4.79,7.67,46.31,1
1.14,93.16,96.58,10.96,98.68,1,8.23,1.51,51.3,1
9.35,76.95,54.44,17.2,75.47,0,8.45,2.39,57.6,1
4.85,53.98,47.29,29.14,86.31,1,8.07,3.43,48.88,1
9.7,41.46,51.85,20.01,80.06,1,5.51,5.34,44.58,1
9.67,92.21,93.22,18.65,71.52,0,9.24,4.81,62.42,1
8.68,41.28,78.75,19.15,33.73,1,5.01,1.88,56.49,1
3.65,92.48,57.15,14.18,61.83,0,4.32,3.03,44.71,1
4.47,71.74,88.96,17.37,77.24,0,8.3,2.67,49.67,1
8.66,96.34,91.68,17.4,77.43,1,6.85,2.49,67.97,1
3.85,87.93,90.79,11.05,56.12,1,9.09,3.88,54.39,1
2.53,99.88,95.14,25.35,95.92,1,6.3,5.93,54.83,1
6.01,61.04,55.13,18.33,41.71,1,5.01,2.52,45.59,1
9.43,86.03,85.3,26.44,65.03,0,9.02,3.57,68.29,1
7.26,64.12,67.63,27.01,78.36,0,7.29,3.74,66.12,1
6.13,68.79,90.52,14.24,78.8,1,5.14,7.84,44.24,1
1.87,77.65,83.71,23.15,75.4,0,8.32,7.68,48.28,1
6.54,92.42,86.59,19.45,49.27,0,7.07,6.6,56.54,1
9.91,99.05,79.37,27.6,40.93,1,7.63,2.69,71.75,1
2.26,86.1,50.65,14.31,74.52,0,6.77,1.48,36.35,0
5.66,65.07,72.7,23.56,71.95,0,8.97,3.22,51.53,1
8.9,65.28,99.08,22.16,42.55,1,8.98,2.87,65.46,1
7.67,84.25,96.24,15.91,79.36,0,8.26,4.54,73.18,1
7.27,54.33,42.59,12.73,61.86,1,4.63,6.44,46.54,1
7.32,46.63,49.89,23.03,76.74,0,9.03,7.01,45.02,1
4.24,61.28,47.9,24.77,88.62,1,8.03,6.91,43.01,1
3.64,57.23,83.56,16.31,41.88,0,8.18,3.52,40.4,1
8.28,57.78,89.07,22.9,31.34,0,6.18,5.81,49.67,1
8.29,54.02,52.81,17.9,84.54,1,9.28,3.19,50.44,1
8.8,42.53,70.35,24.26,72.68,1,8.35,1.43,59.62,1
9.22,41.07,90.44,13.98,78.97,1,4.68,5.91,50.99,1
5.6,99.26,83.97,27.8,88.67,1,6.45,1.07,66.95,1
5.51,65.67,72.53,15.75,86.2,0,9.32,3.86,50.61,1
8.18,63.06,75.42,17.36,97.26,0,4.28,3.31,53.96,1
6.85,80.78,70.5,11.16,67.52,0,9.77,5.85,50.02,1
7.32,53.1,57.85,12.23,64.19,1,8.07,6.36,52.21,1
8.16,97.0,73.9,20.32,58.13,0,7.79,3.13,63.95,1
9.01,87.18,81.33,15.35,40.76,0,5.62,6.68,59.09,1
4.04,45.36,92.4,26.71,70.08,1,5.49,3.06,48.85,1
4.38,65.05,78.18,10.29,49.39,1,9.65,4.12,42.82,1
1.85,92.75,85.67,17.58,94.49,0,5.79,6.09,45.07,1
6.2,96.68,49.6,16.75,70.82,1,8.65,5.85,42.65,1
1.32,68.04,67.69,10.39,71.5,0,6.36,7.91,41.99,1
5.19,76.8,40.56,12.49,54.84,0,4.84,2.58,41.51,1
5.88,50.02,54.8,18.27,33.64,1,4.06,5.64,43.79,1
3.58,99.47,83.59,19.86,32.22,0,7.27,5.27,49.34,1
6.32,53.9,99.51,18.09,59.63,1,9.85,7.41,50.0,1
1.27,96.56,45.95,20.62,35.92,1,6.21,2.09,37.55,0
1.34,78.98,64.09,21.9,72.48,0,6.14,6.26,34.06,0
8.4,76.46,88.0,10.2,91.67,0,6.06,4.98,67.09,1
4.24,70.76,52.24,19.28,91.8,0,7.12,2.92,39.88,0
2.14,53.84,73.31,29.27,76.13,1,6.64,4.32,40.27,1
5.7,50.59,83.98,20.38,44.79,0,9.28,3.34,46.64,1
7.93,53.23,76.96,23.55,90.41,1,7.03,5.06,62.73,1
2.94,51.19,51.28,16.24,92.03,1,7.05,7.22,36.82,0
6.61,86.78,61.32,25.48,43.77,0,4.83,4.99,49.53,1
1.77,61.01,87.03,25.46,81.62,1,9.9,5.42,50.47,1
1.47,43.47,73.25,20.43,50.06,0,5.5,4.63,37.86,0
5.78,98.15,40.31,29.52,86.18,0,4.44,1.36,57.62,1
5.87,93.03,85.66,12.51,99.81,0,7.98,2.63,58.63,1
6.74,95.67,42.12,10.34,32.1,0,7.57,4.44,55.01,1
7.53,99.69,84.74,25.4,92.82,0,6.49,3.17,74.88,1
9.78,50.43,52.15,26.14,73.58,0,6.53,2.27,54.74,1
5.65,63.77,97.48,12.4,98.14,0,8.71,4.53,58.67,1
3.91,85.49,62.08,15.31,62.55,1,5.17,3.26,46.5,1
8.16,81.76,59.62,10.35,89.32,0,8.92,2.81,55.5,1
3.44,49.23,48.93,15.87,34.37,1,7.89,4.25,27.33,0
4.95,88.95,58.34,25.46,53.47,1,6.51,1.93,51.01,1
1.71,53.47,92.6,20.36,34.69,1,6.75,7.49,36.39,0
1.23,53.43,99.78,16.96,98.27,0,5.54,7.07,44.86,1
9.66,72.22,62.1,17.43,87.19,1,8.51,5.95,63.55,1
8.52,75.58,66.92,10.03,89.68,1,7.08,1.74,46.95,1
7.26,74.81,83.32,16.0,95.66,0,5.93,6.43,56.59,1
4.68,45.49,93.17,22.93,35.96,0,7.58,6.66,51.25,1
2.56,92.65,75.58,29.48,56.99,1,9.97,6.37,49.93,1
2.41,55.94,63.49,26.94,34.97,0,6.61,1.8,42.95,1
3.25,47.77,64.76,10.47,44.76,0,9.52,5.51,35.08,0
5.94,93.32,81.74,27.97,46.06,0,6.07,6.84,59.78,1
7.43,97.34,40.19,25.66,62.84,0,4.33,5.04,54.66,1
6.94,91.73,77.18,25.61,48.8,1,5.23,5.52,54.79,1
3.52,88.57,61.33,19.16,37.07,0,6.51,4.21,39.43,0
9.59,79.31,87.65,17.96,41.72,0,5.32,4.7,64.73,1
7.64,73.05,45.58,16.06,40.31,0,4.0,1.24,48.3,1
5.99,45.22,75.29,11.31,98.12,1,9.49,5.47,45.49,1
6.51,64.51,68.86,14.56,83.15,1,9.06,1.57,48.75,1
4.78,62.36,78.54,14.93,97.74,0,8.45,4.05,46.42,1
3.23,55.59,43.89,19.68,60.78,0,5.01,3.05,40.88,1
4.2,83.41,74.8,24.95,49.49,1,4.72,4.82,49.58,1
7.82,69.75,73.69,19.48,85.88,0,4.41,1.93,51.87,1
1.13,44.86,73.64,11.16,52.84,0,8.34,5.84,33.18,0
2.04,53.21,76.21,29.16,50.96,1,9.57,6.57,41.84,1
1.41,81.0,80.59,28.85,46.28,0,6.58,2.14,46.16,1
1.37,44.57,88.3,25.7,39.08,0,4.71,1.73,46.08,1
8.7,91.07,56.19,29.83,47.95,1,7.07,2.02,62.57,1
7.33,69.71,89.5,20.89,54.87,1,6.09,7.14,58.43,1
5.27,68.84,69.9,29.26,77.18,0,6.25,4.7,48.79,1
1.88,75.54,44.62,11.51,34.38,1,7.73,4.27,30.82,0
5.42,89.48,43.51,17.31,44.74,0,8.31,1.75,48.14,1
5.26,60.87,60.05,14.51,86.63,0,4.66,5.55,38.07,0
2.56,80.68,87.09,13.92,40.28,0,4.21,7.08,42.97,1
4.9,73.94,82.46,12.82,53.99,1,9.97,6.8,47.41,1
4.59,56.02,87.32,22.45,90.53,1,5.4,5.38,51.1,1
6.54,92.72,71.04,25.63,40.84,0,4.32,1.53,61.52,1
6.72,87.85,66.41,21.57,35.79,0,5.14,1.79,55.39,1
1.41,79.51,48.85,12.94,63.92,1,4.23,1.35,40.66,1
4.37,91.03,59.69,26.22,51.17,1,6.35,2.8,46.92,1
6.63,92.04,66.04,22.72,69.44,1,8.81,1.95,58.01,1
5.53,82.5,45.32,17.76,86.27,0,6.05,2.82,48.04,1
8.71,90.22,53.24,23.48,39.6,1,6.67,3.7,54.13,1
6.93,81.85,75.89,15.2,70.65,1,8.05,7.6,57.96,1
2.47,80.81,84.14,16.9,65.39,0,7.05,5.27,53.86,1
1.64,77.12,99.9,28.35,40.09,0,9.17,6.84,47.98,1
6.78,85.16,95.99,15.81,73.68,0,9.2,5.97,60.04,1
1.24,49.52,78.55,19.4,49.15,1,4.06,1.79,37.02,0
6.27,92.85,65.27,27.8,64.15,0,8.67,6.15,54.54,1
9.46,92.31,78.17,24.15,35.76,0,6.76,2.93,57.4,1
6.18,41.75,87.14,11.24,62.17,0,9.93,5.47,42.52,1
4.49,89.55,47.1,12.95,51.45,0,6.9,3.39,36.64,0
6.79,47.73,64.59,10.16,87.57,1,9.92,7.98,51.86,1
5.12,60.11,90.39,22.62,33.99,0,8.53,2.84,49.58,1
5.91,84.61,63.03,18.95,59.3,1,5.49,2.95,50.1,1
9.47,49.65,74.31,12.69,62.09,1,7.23,7.51,56.99,1
4.47,89.08,75.27,29.16,80.75,1,9.95,1.17,52.41,1
9.65,89.93,51.07,20.59,70.2,0,9.15,5.88,56.98,1
9.15,70.45,61.73,14.84,76.7,1,4.58,6.08,56.09,1
2.76,40.38,60.07,20.01,84.39,0,8.24,6.85,41.03,1
1.62,57.22,41.57,23.59,90.35,0,6.07,7.82,37.36,0
1.91,77.02,41.45,11.52,51.97,0,4.04,7.83,32.47,0
1.16,98.87,89.9,15.49,67.66,1,6.42,1.46,46.09,1
1.85,77.91,56.38,26.14,88.81,0,5.41,6.75,44.64,1
7.15,55.59,71.08,19.19,99.26,0,8.91,5.52,53.77,1
1.64,78.04,57.92,20.93,92.27,0,6.02,5.53,36.73,0
3.87,72.4,96.44,18.66,56.0,1,8.97,1.9,50.29,1
8.6,86.79,55.56,10.88,43.66,1,4.0,5.55,48.01,1
1.21,46.42,65.78,13.31,64.26,1,5.85,7.88,31.45,0
8.33,85.66,92.36,18.91,81.91,0,5.45,7.38,61.09,1
3.54,72.48,90.52,14.18,64.48,1,5.4,4.07,56.58,1
2.06,97.78,51.17,11.0,63.82,0,4.41,1.28,38.19,0
7.27,60.51,88.16,26.87,88.68,0,5.12,3.54,54.55,1
6.66,77.96,67.49,29.62,55.3,1,7.33,6.78,56.53,1
8.9,95.92,68.98,25.86,90.19,0,5.75,5.91,67.9,1
7.62,46.15,48.01,27.08,58.48,1,6.5,4.22,57.08,1
